State,X-distance,Y-distance,Cost,Pos_x,Pos_y,Orientation,Goal_x,Goal_y,R1,R2,R3,R4,R5,R6,R7,R8,G1,G2,G3,G4,G5,G6,G7,G8
BASH,465,503,2019,108,170,UP,490,550,9,9,2,1,1,1,2,7,8,2,9,4,4,7,9,8
BASH,465,503,2015,108,172,UP,490,550,1,2,7,4,1,3,6,8,8,2,9,4,4,7,9,8
FORWARD,465,503,2010,108,174,UP,490,550,3,6,8,9,8,8,1,6,8,2,9,4,4,7,9,8
FORWARD,465,503,2009,108,175,UP,490,550,9,2,8,8,6,7,4,4,8,2,9,4,4,7,9,8
BASH,465,503,2005,108,176,UP,490,550,8,1,6,7,4,3,7,8,8,2,9,4,4,7,9,8
BASH,465,503,2001,108,178,UP,490,550,3,7,8,5,1,1,8,6,8,2,9,4,4,7,9,8
FORWARD,465,503,1997,108,180,UP,490,550,1,8,6,9,3,3,5,4,8,2,9,4,4,7,9,8
BASH,465,503,1992,108,181,UP,490,550,9,1,3,3,4,1,8,8,8,2,9,4,4,7,9,8
BASH,465,503,1985,108,183,UP,490,550,1,8,8,6,7,2,5,3,8,2,9,4,4,7,9,8
LEFT,465,503,1981,108,185,UP,490,550,2,5,3,5,5,1,5,3,8,2,9,4,4,7,9,8
BASH,465,503,1980,108,185,RIGHT,490,550,2,5,3,5,5,1,5,3,8,2,9,4,4,7,9,8
BASH,465,503,1976,110,185,RIGHT,490,550,3,1,6,5,9,3,5,6,8,2,9,4,4,7,9,8
FORWARD,465,503,1971,112,185,RIGHT,490,550,6,6,6,9,3,6,8,3,8,2,9,4,4,7,9,8
BASH,465,503,1968,113,185,RIGHT,490,550,6,6,8,2,7,8,3,8,8,2,9,4,4,7,9,8
FORWARD,465,503,1963,115,185,RIGHT,490,550,8,3,8,7,3,8,7,5,8,2,9,4,4,7,9,8
BASH,465,503,1960,116,185,RIGHT,490,550,3,8,6,2,4,7,5,5,8,2,9,4,4,7,9,8
BASH,465,503,1956,118,185,RIGHT,490,550,6,3,4,4,9,5,4,4,8,2,9,4,4,7,9,8
FORWARD,465,503,1952,120,185,RIGHT,490,550,4,2,9,9,1,4,1,7,8,2,9,4,4,7,9,8
